,time,high,low,open,volumefrom,volumeto,close
897,2021-06-09,444.84,421.94,453.75,301683.24,128011117.26,424.32
898,2021-06-10,442.12,416.71,424.32,301359.88,126232423.93,418.88
899,2021-06-11,417.19,394.2,418.88,250423.65,104129898.94,415.81
900,2021-06-12,463.86,436.93,415.81,232832.67,104061094.3,446.94
901,2021-06-13,461.57,439.94,446.94,279627.01,125282364.03,448.03
902,2021-06-14,460.87,443.55,448.03,214693.24,96165306.46,447.92
903,2021-06-15,428.82,418.45,447.92,196127.91,83367377.24,425.07
904,2021-06-16,437.29,425.18,425.07,169036.16,73798926.95,436.59
905,2021-06-17,423.11,410.5,436.59,203518.36,85747381.25,421.33
906,2021-06-18,421.33,413.53,421.33,135131.65,56083420.79,415.03
907,2021-06-19,422.61,410.2,415.03,185139.61,77898851.68,420.76
908,2021-06-20,377.06,331.96,420.76,349706.14,116592091.17,333.4
909,2021-06-21,352.89,313.75,333.4,586580.14,189496480.72,323.05
910,2021-06-22,368.26,327.56,323.05,429789.71,156177400.74,363.38
911,2021-06-23,391.78,369.68,363.38,321578.12,121839213.25,378.88
912,2021-06-24,347.65,330.11,378.88,275859.16,94962334.37,344.24
913,2021-06-25,354.37,339.1,344.24,210950.05,72350550.36,342.97
914,2021-06-26,381.63,351.22,342.97,234640.85,84084054.95,358.35
915,2021-06-27,364.75,350.77,358.35,261129.75,93056166.77,356.36
916,2021-06-28,386.71,371.65,356.36,278756.18,104059416.81,373.3
917,2021-06-29,377.76,359.04,373.3,220798.39,83273707.7,377.15
918,2021-06-30,361.34,354.35,377.15,162362.23,57952180.42,356.93
919,2021-07-01,359.25,350.73,356.93,154115.8,54683685.55,354.82
920,2021-07-02,372.7,362.72,354.82,147947.48,54518933.13,368.5
921,2021-07-03,383.32,369.01,368.5,187265.41,70840728.73,378.29
922,2021-07-04,373.02,359.71,378.29,190222.3,70680702.71,371.57
923,2021-07-05,401.26,379.47,371.57,285378.63,113575077.48,397.98
924,2021-07-06,411.83,393.25,397.98,291339.65,118804215.66,407.79
925,2021-07-07,401.7,387.41,407.79,237891.34,92769822.6,389.97
926,2021-07-08,396.27,388.76,389.97,164038.42,64494374.21,393.17
927,2021-07-09,395.12,386.97,393.17,137483.9,54236937.16,394.5
928,2021-07-10,407.85,397.44,394.5,149467.86,59703372.35,399.44
929,2021-07-11,399.24,385.79,399.44,208107.48,81697804.44,392.58
930,2021-07-12,391.48,383.76,392.58,148384.69,57217373.18,385.6
931,2021-07-13,392.26,378.13,385.6,201585.77,78260081.85,388.22
932,2021-07-14,404.54,371.28,388.22,354345.77,140457720.54,396.39
933,2021-07-15,399.06,376.42,396.39,230314.23,87667273.52,380.64
934,2021-07-16,386.88,375.59,380.64,138581.89,52680626.08,380.14
935,2021-07-17,388.57,379.13,380.14,150056.91,57029324.31,380.05
936,2021-07-18,375.67,357.86,380.05,191491.83,68633450.2,358.41
937,2021-07-19,344.64,327.51,358.41,260353.29,87012095.64,334.21
938,2021-07-20,370.89,356.09,334.21,205796.24,75500288.25,366.87
939,2021-07-21,375.68,365.84,366.87,161579.57,59749468.78,369.78
940,2021-07-22,389.04,369.03,369.78,240455.05,89969230.31,374.16
941,2021-07-23,386.85,375.61,374.16,168954.23,63816788.13,377.72
942,2021-07-24,393.13,380.71,377.72,165611.78,63056629.58,380.75
943,2021-07-25,403.44,372.82,380.75,361978.78,138708968.96,383.2
944,2021-07-26,412.5,393.91,383.2,208280.47,82054288.09,393.96
945,2021-07-27,401.65,389.8,393.96,206519.26,81361738.39,393.97
946,2021-07-28,396.95,388.41,393.97,139628.16,55229552.39,395.55
947,2021-07-29,428.72,403.12,395.55,205350.06,82844771.75,403.43
948,2021-07-30,419.22,396.33,403.43,223259.22,92957033.38,416.36
949,2021-07-31,415.31,396.83,416.36,190816.5,78888887.94,413.43
950,2021-08-01,414.62,403.01,413.43,156562.51,64532596.97,412.18
951,2021-08-02,404.41,398.11,412.18,144273.95,58276920.16,403.93
952,2021-08-03,423.59,416.88,403.93,115832.41,48484364.27,418.57
953,2021-08-04,444.5,420.7,418.57,214931.61,91003824.94,423.41
954,2021-08-05,452.17,428.53,423.41,223427.69,96154077.26,430.36
955,2021-08-06,453.82,444.24,430.36,220459.01,98145110.92,445.19
956,2021-08-07,440.63,424.98,445.19,146837.55,62935597.4,428.61
957,2021-08-08,458.16,443.31,428.61,164387.32,73027060.3,444.24
958,2021-08-09,467.78,433.78,444.24,255254.08,118415908.19,463.91
959,2021-08-10,500.29,466.76,463.91,275411.28,135358386.64,491.48
960,2021-08-11,488.33,466.65,491.48,230331.35,110868786.68,481.34
961,2021-08-12,530.85,506.98,481.34,207844.45,107155799.7,515.56
962,2021-08-13,515.39,499.61,515.56,189518.77,96552770.52,509.46
963,2021-08-14,520.31,507.92,509.46,170910.74,88897136.62,520.14
964,2021-08-15,531.66,499.31,520.14,299359.43,156159503.05,521.65
965,2021-08-16,521.32,504.56,521.65,246830.91,124776688.58,505.51
966,2021-08-17,511.09,491.61,505.51,214887.01,107593900.19,500.7
967,2021-08-18,569.56,528.35,500.7,295060.27,162724607.37,551.5
968,2021-08-19,590.29,572.16,551.5,242904.72,141967425.4,584.46
969,2021-08-20,587.22,567.12,584.46,217434.18,124722512.03,573.61
970,2021-08-21,589.8,573.77,573.61,169341.51,97731619.66,577.13
971,2021-08-22,644.95,569.78,577.13,450688.85,285577526.51,633.65
972,2021-08-23,608.06,578.71,633.65,248582.01,147252109.24,592.37
973,2021-08-24,643.01,610.8,592.37,294091.66,186741485.43,634.98
974,2021-08-25,628.76,604.9,634.98,314757.84,191711676.94,609.08
975,2021-08-26,633.46,618.04,609.08,207527.52,129027290.99,621.74
976,2021-08-27,623.43,612.51,621.74,126457.16,77604379.73,613.68
977,2021-08-28,621.68,603.43,613.68,163809.46,99392774.58,606.76
978,2021-08-29,589.27,575.52,606.76,207918.2,120089657.3,577.58
979,2021-08-30,595.04,576.21,577.58,268264.33,157421517.4,586.81
980,2021-08-31,623.37,599.23,586.81,258913.84,159489697.77,616.0
981,2021-09-01,637.83,601.84,616.0,281005.72,171125268.67,608.97
982,2021-09-02,625.48,607.15,608.97,235885.18,144654939.19,613.24
983,2021-09-03,636.09,608.64,613.24,285942.81,178605207.35,624.62
984,2021-09-04,673.41,613.94,624.62,243425.84,154210634.85,633.5
985,2021-09-05,645.37,618.08,633.5,249976.79,154850253.69,619.46
986,2021-09-06,569.36,500.82,619.46,642314.8,340359507.5,529.9
987,2021-09-07,529.68,502.17,529.9,354698.0,186243712.26,525.08
988,2021-09-08,541.19,517.3,525.08,276194.77,146885740.06,531.82
989,2021-09-09,531.07,498.67,531.82,281320.56,142873185.36,507.87
990,2021-09-10,519.35,508.78,507.87,162976.1,83514923.74,512.44
991,2021-09-11,535.19,520.43,512.44,188447.63,99839423.97,529.8
992,2021-09-12,517.18,499.97,529.8,239802.55,121383687.56,506.18
993,2021-09-13,529.54,514.29,506.18,240015.62,125739000.34,523.88
994,2021-09-14,549.91,527.93,523.88,237854.54,128997879.84,542.34
995,2021-09-15,543.14,531.61,542.34,201087.7,107835319.7,536.26
996,2021-09-16,535.06,513.28,536.26,222019.01,114853765.53,517.32
997,2021-09-17,531.7,522.67,517.32,175202.07,91615372.5,522.91
998,2021-09-18,532.07,513.08,522.91,145653.81,76168397.58,522.94
999,2021-09-19,475.64,458.4,522.94,237551.06,110367132.87,464.6
1000,2021-09-20,450.32,437.26,464.6,218508.92,96159145.13,440.07
1001,2021-09-21,486.3,464.37,440.07,212736.29,102803252.18,483.24
1002,2021-09-22,493.24,481.4,483.24,186993.17,90558975.58,484.29
1003,2021-09-23,465.46,442.22,484.29,275286.82,124008776.79,450.47
1004,2021-09-24,453.26,439.48,450.47,187410.96,82666356.75,441.1
1005,2021-09-25,449.67,425.6,441.1,332210.55,145159407.62,436.95
1006,2021-09-26,428.81,418.61,436.95,162050.29,68481482.2,422.59
1007,2021-09-27,427.13,414.09,422.59,170541.14,72238056.53,423.58
1008,2021-09-28,471.75,427.73,423.58,382620.16,179870401.64,470.1
1009,2021-09-29,499.02,480.56,470.1,240957.51,118764022.64,492.88
1010,2021-09-30,551.03,527.7,492.88,272754.83,145815758.6,534.6
1011,2021-10-01,546.59,519.51,534.6,199912.79,107648962.01,538.48
1012,2021-10-02,553.46,539.91,538.48,160113.8,87287678.17,545.16
1013,2021-10-03,550.06,530.17,545.16,203419.35,108498229.28,533.37
1014,2021-10-04,570.09,549.47,533.37,204084.1,113006120.48,553.72
1015,2021-10-05,564.34,540.14,554.08,62245.63,33956100.13,545.52
1016,2021-10-06,567.54,545.85,550.65,54537.31,30089582.25,551.72
1017,2021-10-07,551.2,514.14,551.07,310863.44,162933062.09,524.13
1018,2021-10-08,538.42,525.23,524.13,148810.74,78497058.09,527.5
1019,2021-10-09,522.81,503.0,527.5,189476.26,95358076.47,503.27
1020,2021-10-10,538.5,509.8,503.27,220523.21,114041268.67,517.14
